age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
62,entrepreneur,married,high.school,unknown,yes,no,telephone,dec,tue,66,1,999,0,nonexistent,-0.1,92.93,-40.7,3.807,4963.6,no
39,management,single,basic.9y,no,yes,no,cellular,nov,tue,168,5,999,0,nonexistent,1.1,91.493,-43.7,2.296,5099.1,no
27,technician,married,university.degree,unknown,yes,no,cellular,jul,fri,514,3,999,0,nonexistent,1.1,92.978,-39.0,0.6,5191.0,no
49,services,married,university.degree,no,yes,no,cellular,sep,thu,311,1,999,0,nonexistent,1.4,93.887,-48.0,3.615,5099.1,no
25,retired,married,university.degree,no,yes,no,telephone,aug,thu,216,1,999,0,nonexistent,-3.4,92.196,-33.8,2.476,5008.7,yes
42,blue-collar,single,basic.9y,no,yes,no,telephone,nov,wed,23,3,1,3,success,-1.7,92.365,-28.8,4.955,5099.1,no
18,unemployed,single,basic.9y,no,yes,no,cellular,jul,thu,296,4,999,0,nonexistent,-1.7,90.678,-35.8,3.556,5099.1,yes
24,unemployed,married,professional.course,no,unknown,no,cellular,oct,tue,45,2,999,0,nonexistent,1.4,91.533,-46.1,3.479,5191.0,yes
42,management,married,university.degree,no,no,no,cellular,jul,tue,385,1,999,0,nonexistent,1.4,93.666,-53.6,4.826,4963.6,yes
48,blue-collar,married,professional.course,no,yes,no,cellular,dec,thu,71,2,999,0,nonexistent,-1.8,94.323,-39.6,3.288,5008.7,yes
42,retired,married,university.degree,unknown,no,no,cellular,jul,fri,134,6,999,0,nonexistent,-1.8,94.653,-48.5,4.408,5008.7,yes
38,admin.,married,university.degree,no,no,no,telephone,jul,tue,107,3,999,0,nonexistent,1.4,96.414,-44.1,1.83,5017.5,no
36,admin.,married,university.degree,no,yes,no,cellular,oct,wed,489,4,999,0,nonexistent,-1.7,95.232,-34.4,5.1,5191.0,yes
22,blue-collar,single,university.degree,no,no,no,telephone,nov,thu,33,1,999,0,nonexistent,-1.8,92.772,-33.9,3.496,5076.2,no
31,technician,married,university.degree,no,no,no,cellular,jul,wed,208,3,999,0,nonexistent,-3.4,91.596,-33.3,0.837,5017.5,yes
34,housemaid,married,university.degree,unknown,yes,no,telephone,may,fri,38,2,999,0,nonexistent,-1.7,92.616,-41.5,3.248,5017.5,yes
52,retired,married,basic.9y,unknown,yes,yes,cellular,jul,thu,305,4,999,0,nonexistent,1.1,92.173,-37.5,3.336,5017.5,no
44,retired,divorced,high.school,no,unknown,no,cellular,dec,mon,588,1,999,0,nonexistent,-0.1,93.249,-52.0,3.225,5008.7,no
18,technician,single,university.degree,no,no,no,cellular,oct,fri,142,3,999,0,nonexistent,-0.1,94.336,-49.5,0.6,4963.6,no
43,blue-collar,single,basic.9y,yes,yes,no,cellular,nov,thu,167,2,999,0,nonexistent,1.4,93.72,-43.4,2.013,5099.1,no
35,technician,married,basic.9y,no,yes,unknown,cellular,mar,fri,655,1,16,1,failure,-1.8,95.364,-37.8,0.6,5008.7,no
31,unemployed,married,high.school,unknown,yes,no,telephone,jul,thu,184,3,2,4,nonexistent,-3.4,93.593,-44.1,0.6,5099.1,no
47,admin.,married,basic.9y,no,no,no,telephone,aug,fri,167,2,999,0,nonexistent,1.4,91.087,-38.0,3.3,5099.1,yes
52,housemaid,single,basic.9y,no,no,no,cellular,nov,mon,215,3,999,0,nonexistent,1.1,92.145,-47.8,1.99,5076.2,no
51,services,divorced,high.school,no,unknown,no,cellular,mar,tue,292,2,999,0,nonexistent,-1.7,93.604,-41.5,2.345,5017.5,yes
29,technician,single,professional.course,no,yes,no,cellular,nov,fri,28,2,999,0,nonexistent,-1.7,93.343,-39.3,1.389,5076.2,no
36,retired,single,high.school,unknown,no,no,cellular,jul,tue,430,4,999,0,nonexistent,-1.7,94.962,-38.2,5.1,5017.5,no
43,technician,single,basic.9y,no,no,yes,cellular,may,mon,142,3,999,0,nonexistent,1.1,93.011,-44.3,3.072,5008.7,no
51,housemaid,married,basic.4y,no,yes,yes,telephone,may,thu,18,3,999,0,nonexistent,-3.4,92.735,-41.9,0.6,5099.1,no
34,student,divorced,university.degree,no,yes,no,telephone,may,fri,385,6,999,0,nonexistent,-0.1,90.639,-49.7,4.159,5076.2,no
37,technician,married,high.school,no,unknown,no,telephone,jul,mon,118,2,999,0,nonexistent,-1.8,91.79,-42.5,2.383,5191.0,no
26,blue-collar,married,university.degree,no,no,yes,cellular,mar,fri,26,5,999,0,nonexistent,1.4,93.463,-36.6,5.1,5008.7,no
25,management,married,university.degree,no,yes,no,telephone,may,thu,251,3,999,0,nonexistent,-1.7,93.314,-43.3,2.985,5008.7,no
49,student,married,university.degree,no,no,no,telephone,nov,wed,530,1,999,0,nonexistent,-0.1,93.892,-45.7,1.747,5191.0,yes
56,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,546,1,999,0,nonexistent,-3.4,93.676,-38.1,2.024,5017.5,yes
39,management,married,university.degree,no,no,no,cellular,may,wed,790,2,2,2,failure,-3.4,92.83,-30.6,2.276,5099.1,yes
52,management,married,basic.9y,no,no,no,telephone,jul,mon,505,4,999,0,nonexistent,1.1,91.497,-31.1,3.882,5017.5,yes
44,retired,married,professional.course,no,yes,no,cellular,jul,tue,0,2,999,0,nonexistent,1.1,93.001,-40.7,1.587,5017.5,no
32,admin.,married,university.degree,no,unknown,no,cellular,oct,wed,119,6,26,4,failure,1.1,92.934,-38.1,5.1,5008.7,no
44,retired,married,high.school,no,no,no,cellular,jul,wed,426,3,999,0,nonexistent,1.1,95.058,-33.8,3.663,5017.5,yes
58,student,married,basic.9y,no,yes,no,cellular,oct,fri,114,4,999,0,nonexistent,-1.8,94.992,-40.8,3.404,4963.6,no
39,admin.,married,basic.9y,no,no,no,cellular,aug,thu,230,7,999,0,nonexistent,1.1,92.282,-39.7,3.131,5191.0,no
58,blue-collar,single,university.degree,no,yes,yes,telephone,apr,wed,233,3,2,3,failure,-1.8,92.067,-43.6,2.964,5191.0,no
18,unemployed,single,basic.9y,no,yes,no,telephone,may,thu,113,3,999,0,nonexistent,-3.4,90.969,-30.2,0.715,5099.1,no
49,blue-collar,single,university.degree,no,yes,no,telephone,jul,mon,587,1,999,0,nonexistent,1.1,92.753,-38.4,3.527,5191.0,yes
41,housemaid,single,basic.9y,no,yes,yes,cellular,jun,mon,174,3,999,0,nonexistent,1.4,92.289,-43.3,5.1,5017.5,yes
36,technician,married,university.degree,no,no,yes,cellular,sep,fri,156,2,999,0,nonexistent,1.1,96.911,-44.9,4.245,5017.5,no
41,blue-collar,single,university.degree,no,yes,no,cellular,aug,mon,1499,4,999,0,nonexistent,1.4,91.327,-51.3,3.789,5076.2,yes
18,housemaid,married,university.degree,no,no,no,cellular,jun,tue,170,4,999,0,nonexistent,1.4,93.088,-49.9,0.6,5099.1,yes
37,technician,married,university.degree,no,no,no,cellular,may,thu,49,1,999,0,nonexistent,-1.8,92.036,-45.6,4.955,5099.1,no
44,services,single,basic.9y,unknown,yes,yes,cellular,may,wed,179,4,999,0,nonexistent,1.4,93.037,-37.4,4.445,5191.0,no
57,technician,married,basic.6y,no,no,yes,cellular,aug,fri,420,4,999,0,nonexistent,1.1,92.5,-40.4,5.1,5017.5,no
33,management,single,university.degree,no,yes,yes,cellular,jul,tue,374,2,999,0,nonexistent,1.4,94.217,-48.3,1.373,4963.6,yes
30,admin.,single,high.school,no,yes,no,cellular,jul,mon,388,5,999,0,nonexistent,1.1,93.66,-46.6,2.28,5076.2,yes
33,technician,single,high.school,no,yes,no,cellular,may,tue,307,1,999,0,nonexistent,-0.1,94.167,-40.6,0.6,4963.6,yes
50,unemployed,divorced,basic.4y,no,yes,no,telephone,aug,wed,73,3,999,0,nonexistent,1.1,91.872,-33.6,0.6,5017.5,yes
43,blue-collar,married,basic.9y,no,yes,no,cellular,nov,tue,495,1,999,0,nonexistent,-1.7,94.619,-47.5,1.962,5099.1,no
33,management,married,basic.4y,unknown,no,no,telephone,may,wed,559,2,999,0,nonexistent,1.4,92.277,-39.7,3.842,5099.1,yes
46,blue-collar,married,university.degree,no,yes,no,cellular,jul,fri,53,2,999,0,nonexistent,-1.8,90.891,-44.2,2.25,4963.6,no
41,entrepreneur,married,basic.9y,unknown,yes,no,cellular,dec,fri,34,1,999,0,nonexistent,-1.7,92.727,-44.1,1.796,5008.7,no
51,admin.,single,university.degree,no,unknown,no,telephone,may,tue,928,1,999,0,nonexistent,-3.4,93.17,-47.9,3.611,5017.5,yes
31,unemployed,single,basic.4y,no,no,no,cellular,aug,wed,506,1,999,0,nonexistent,-1.7,91.125,-38.9,0.6,5099.1,yes
36,technician,single,university.degree,no,no,no,cellular,apr,wed,559,3,999,0,nonexistent,-1.8,94.31,-44.4,2.024,5191.0,yes
35,blue-collar,married,high.school,no,yes,no,telephone,aug,fri,543,5,999,0,nonexistent,-3.4,91.783,-43.8,3.609,5008.7,yes
22,admin.,married,professional.course,no,no,no,cellular,apr,fri,195,3,999,0,nonexistent,-0.1,91.719,-37.1,2.274,5099.1,yes
43,admin.,married,university.degree,no,no,no,telephone,dec,tue,259,4,999,0,nonexistent,-0.1,93.0,-36.8,5.1,5191.0,no
43,services,married,high.school,no,no,no,cellular,sep,thu,197,1,999,0,nonexistent,-3.4,94.286,-45.6,1.81,5099.1,no
40,blue-collar,single,professional.course,unknown,no,unknown,cellular,oct,tue,13,1,999,0,nonexistent,-1.7,91.176,-40.5,1.934,5008.7,no
37,self-employed,married,professional.course,unknown,yes,no,cellular,sep,mon,342,3,999,0,nonexistent,1.4,94.411,-37.5,1.225,4963.6,yes
23,technician,married,university.degree,no,yes,no,cellular,aug,mon,175,5,999,0,nonexistent,-1.8,89.761,-42.9,1.636,5017.5,yes
34,blue-collar,married,university.degree,no,yes,no,telephone,jul,wed,260,6,999,0,nonexistent,-1.7,93.496,-38.6,3.499,5008.7,yes
35,management,single,basic.9y,no,yes,no,telephone,nov,wed,174,3,999,0,nonexistent,-3.4,91.305,-43.6,4.455,5008.7,no
30,retired,single,university.degree,no,no,yes,cellular,dec,mon,169,1,999,0,nonexistent,-1.8,91.802,-43.7,5.1,5099.1,yes
38,admin.,married,basic.4y,no,yes,no,cellular,jul,thu,47,2,999,0,nonexistent,1.1,95.607,-46.7,4.039,5191.0,no
44,admin.,married,basic.6y,no,unknown,yes,telephone,dec,tue,81,1,999,0,nonexistent,-1.7,91.518,-33.4,0.88,5008.7,no
62,admin.,married,professional.course,no,no,no,cellular,aug,wed,43,2,999,0,nonexistent,-0.1,92.916,-44.4,5.1,5017.5,yes
42,retired,married,high.school,no,yes,yes,cellular,jul,tue,54,1,999,0,nonexistent,-1.8,91.4,-46.0,3.877,4963.6,no
43,management,single,university.degree,unknown,yes,no,cellular,jul,mon,902,3,999,0,nonexistent,1.1,94.154,-47.2,3.052,5191.0,yes
39,technician,single,university.degree,no,no,yes,cellular,may,wed,41,1,999,0,nonexistent,1.1,93.613,-41.6,4.921,4963.6,no
18,self-employed,married,university.degree,unknown,unknown,no,telephone,jan,tue,78,3,14,2,success,-1.8,93.825,-47.1,5.1,4963.6,yes
39,self-employed,married,professional.course,no,yes,no,telephone,may,wed,223,4,999,0,nonexistent,-3.4,94.696,-45.6,2.66,5017.5,yes
40,management,divorced,basic.9y,no,yes,no,cellular,jul,mon,235,3,999,0,nonexistent,-3.4,92.493,-38.0,1.501,5099.1,no
69,housemaid,married,basic.4y,no,no,yes,cellular,jun,wed,41,1,24,1,success,1.1,94.612,-39.8,5.1,5191.0,no
37,blue-collar,single,high.school,no,no,no,cellular,jul,mon,394,1,999,0,nonexistent,-1.8,95.235,-48.7,5.1,5191.0,yes
43,admin.,married,basic.6y,no,yes,no,cellular,dec,thu,384,4,999,0,nonexistent,-0.1,93.427,-38.4,3.261,5017.5,no
39,blue-collar,married,basic.4y,no,no,yes,cellular,may,thu,67,2,23,1,nonexistent,-1.8,91.341,-41.8,3.056,5191.0,no
25,admin.,married,high.school,no,yes,no,telephone,jul,mon,85,2,999,0,nonexistent,-1.8,91.193,-36.3,3.31,5008.7,yes
53,services,married,university.degree,no,yes,no,cellular,may,wed,695,1,999,0,nonexistent,-3.4,93.663,-34.9,3.809,5076.2,yes
49,student,divorced,university.degree,no,yes,no,cellular,mar,mon,436,2,999,0,nonexistent,-1.7,91.34,-50.0,0.6,5076.2,yes
49,admin.,married,high.school,no,yes,no,cellular,oct,wed,299,2,999,0,nonexistent,-3.4,90.985,-38.2,3.551,5076.2,no
29,admin.,married,university.degree,no,yes,yes,cellular,aug,tue,21,3,999,0,nonexistent,-1.7,94.326,-33.8,3.492,4963.6,no
56,technician,married,basic.9y,no,yes,no,cellular,oct,wed,135,2,999,0,nonexistent,-0.1,92.312,-41.0,3.389,5191.0,no
23,student,married,basic.4y,no,yes,no,telephone,may,wed,204,2,999,0,nonexistent,-1.7,96.629,-38.6,3.301,5017.5,no
47,blue-collar,married,university.degree,no,yes,unknown,cellular,aug,fri,51,4,7,1,success,1.1,92.014,-40.9,3.173,5191.0,no
66,services,married,university.degree,unknown,yes,no,telephone,may,wed,148,2,999,0,nonexistent,1.1,92.254,-37.1,0.6,5017.5,yes
28,admin.,single,university.degree,no,unknown,no,cellular,may,wed,229,4,999,0,nonexistent,1.1,93.539,-40.1,1.702,5191.0,no
33,admin.,married,basic.4y,no,yes,no,cellular,feb,wed,99,1,4,1,failure,1.4,93.307,-52.1,4.541,4963.6,no
41,unemployed,married,university.degree,no,yes,no,cellular,may,fri,379,1,999,0,nonexistent,-1.8,92.874,-42.6,4.963,5008.7,no
33,unemployed,divorced,university.degree,no,no,no,cellular,may,thu,458,1,999,0,nonexistent,-1.8,92.838,-42.9,2.239,5076.2,yes
21,admin.,married,university.degree,no,unknown,yes,cellular,apr,tue,97,3,999,0,nonexistent,1.1,97.864,-38.4,1.278,5076.2,no
40,unemployed,divorced,university.degree,no,yes,no,cellular,dec,fri,456,5,999,0,nonexistent,-0.1,95.491,-36.1,4.291,5191.0,yes
27,management,married,university.degree,no,no,no,telephone,may,wed,27,1,999,0,nonexistent,-0.1,94.265,-43.1,3.491,4963.6,no
45,housemaid,single,university.degree,yes,no,no,telephone,may,fri,454,2,999,0,nonexistent,-3.4,91.162,-48.1,2.78,5076.2,yes
28,technician,single,university.degree,no,no,no,cellular,may,fri,41,2,999,0,nonexistent,-0.1,92.889,-40.5,4.551,5191.0,no
58,services,single,professional.course,no,yes,yes,cellular,aug,mon,21,1,7,2,success,1.4,93.991,-45.9,0.878,5099.1,no
30,technician,divorced,university.degree,no,no,yes,cellular,mar,thu,256,1,999,0,nonexistent,-1.7,94.122,-45.0,5.09,5191.0,no
36,management,married,high.school,unknown,yes,no,cellular,nov,tue,159,1,999,0,nonexistent,1.4,94.916,-30.1,0.6,5017.5,no
49,admin.,divorced,university.degree,no,no,no,cellular,dec,tue,596,1,999,0,nonexistent,-1.7,92.038,-45.4,1.515,5076.2,yes
25,admin.,married,high.school,no,no,no,telephone,may,tue,112,2,999,0,nonexistent,-1.8,92.942,-49.8,1.126,5076.2,no
42,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,84,1,23,3,success,-1.7,91.867,-39.0,1.952,5099.1,no
55,retired,married,university.degree,no,no,no,cellular,feb,tue,173,4,999,0,nonexistent,-0.1,95.002,-38.5,3.551,5008.7,no
20,blue-collar,married,professional.course,unknown,yes,no,cellular,aug,mon,152,6,15,1,failure,1.1,94.048,-37.6,4.221,5191.0,yes
42,retired,married,professional.course,no,no,no,cellular,jun,thu,105,1,19,4,success,-0.1,92.239,-37.8,2.853,5008.7,yes
43,unemployed,married,high.school,unknown,yes,no,telephone,may,mon,295,3,999,0,nonexistent,-0.1,93.337,-41.3,0.7,5191.0,no
49,admin.,married,high.school,unknown,yes,no,cellular,may,mon,356,2,999,0,nonexistent,-3.4,93.075,-41.2,0.6,5099.1,yes
25,retired,single,basic.9y,no,yes,no,cellular,aug,tue,479,1,21,2,failure,-1.7,91.68,-37.3,4.523,5008.7,no
24,technician,single,professional.course,no,no,no,telephone,jun,tue,901,4,999,0,nonexistent,-1.7,94.395,-34.0,4.301,4963.6,yes
46,housemaid,married,professional.course,no,yes,no,cellular,may,wed,77,1,12,2,failure,1.4,93.115,-48.3,4.928,5099.1,no
43,admin.,married,university.degree,unknown,yes,no,telephone,aug,mon,314,1,999,0,nonexistent,-1.7,92.206,-45.0,2.762,5191.0,yes
43,retired,married,university.degree,no,yes,yes,cellular,jul,fri,125,3,23,1,nonexistent,1.4,91.654,-38.9,4.203,5017.5,no
44,self-employed,married,university.degree,yes,no,no,cellular,nov,thu,282,1,999,0,nonexistent,-1.7,94.282,-40.7,1.849,5017.5,yes
31,unemployed,married,university.degree,no,no,no,telephone,apr,tue,161,2,999,0,nonexistent,-3.4,93.402,-51.0,3.865,5017.5,yes
42,retired,married,basic.4y,no,yes,no,cellular,oct,tue,1269,4,999,0,nonexistent,-1.8,91.958,-44.9,2.137,5191.0,yes
43,technician,married,high.school,no,yes,yes,cellular,aug,wed,326,3,999,0,nonexistent,-1.7,92.253,-40.5,1.534,5076.2,yes
31,management,divorced,university.degree,no,yes,unknown,cellular,apr,thu,761,2,999,0,nonexistent,1.4,93.008,-41.9,3.418,5099.1,no
62,housemaid,married,university.degree,unknown,yes,no,cellular,aug,mon,450,5,17,4,success,1.1,93.096,-43.8,3.324,5099.1,yes
45,services,married,high.school,yes,yes,no,cellular,jul,mon,583,2,26,2,failure,1.4,93.288,-30.3,4.641,5008.7,no
25,admin.,married,professional.course,unknown,no,yes,telephone,dec,fri,421,1,999,0,nonexistent,1.4,90.346,-42.1,0.688,5099.1,yes
47,student,married,basic.9y,no,yes,no,telephone,may,tue,153,4,999,0,nonexistent,-0.1,93.181,-40.8,4.669,5099.1,no
28,retired,married,high.school,no,yes,no,cellular,aug,tue,72,4,999,0,nonexistent,1.1,91.171,-41.3,3.234,5008.7,no
49,retired,single,university.degree,no,yes,no,cellular,jun,fri,115,4,999,0,nonexistent,1.1,95.129,-40.9,4.922,5099.1,no
53,blue-collar,married,university.degree,no,unknown,no,cellular,dec,thu,5,5,999,0,nonexistent,1.1,94.564,-41.8,4.904,5099.1,no
30,management,married,university.degree,no,no,no,cellular,may,tue,185,3,7,2,success,-1.7,94.735,-52.4,0.6,4963.6,no
51,technician,divorced,basic.9y,no,no,no,cellular,dec,thu,175,1,999,0,nonexistent,-0.1,89.312,-47.0,4.888,5191.0,no
44,management,single,basic.9y,no,yes,no,cellular,dec,mon,186,1,999,0,nonexistent,-0.1,92.551,-43.6,4.968,5008.7,no
49,admin.,single,university.degree,unknown,yes,yes,telephone,may,thu,912,4,999,0,nonexistent,-3.4,92.883,-37.9,0.735,4963.6,yes
62,management,married,university.degree,no,yes,no,cellular,nov,wed,606,7,999,0,nonexistent,-0.1,93.862,-43.5,0.6,5076.2,yes
37,unemployed,single,basic.9y,no,yes,no,cellular,dec,fri,44,1,999,0,nonexistent,1.4,94.351,-46.2,4.395,5008.7,no
30,admin.,married,university.degree,no,yes,no,cellular,may,fri,115,1,999,0,nonexistent,-0.1,94.927,-37.3,3.205,5191.0,no
29,unemployed,married,high.school,no,no,no,telephone,jul,fri,137,1,999,0,nonexistent,-0.1,89.525,-35.2,1.844,5099.1,yes
30,technician,married,university.degree,no,no,no,telephone,jul,fri,111,1,999,0,nonexistent,-1.8,91.798,-49.7,5.1,5099.1,no
39,housemaid,married,university.degree,unknown,no,yes,cellular,may,wed,400,3,999,0,nonexistent,1.1,93.087,-41.5,3.545,4963.6,yes
44,entrepreneur,married,basic.9y,unknown,yes,no,cellular,feb,tue,185,1,999,0,nonexistent,-1.7,94.244,-55.4,0.6,4963.6,no
43,services,married,basic.4y,unknown,no,no,telephone,may,wed,212,2,999,0,nonexistent,1.4,94.203,-43.6,1.168,5076.2,yes
49,retired,divorced,university.degree,unknown,yes,yes,cellular,may,thu,479,2,999,0,nonexistent,1.4,93.712,-32.6,4.876,5076.2,no
40,housemaid,divorced,university.degree,no,yes,no,telephone,jul,fri,409,1,9,4,failure,1.4,92.044,-41.5,3.064,5191.0,no
57,technician,single,university.degree,no,no,yes,cellular,may,tue,35,6,999,0,nonexistent,-3.4,92.235,-48.9,1.704,5099.1,no
36,blue-collar,married,university.degree,no,yes,no,cellular,nov,fri,312,1,19,2,success,-1.7,92.056,-48.8,3.814,5017.5,yes
72,management,single,university.degree,no,yes,yes,cellular,sep,fri,142,8,999,0,nonexistent,1.4,91.528,-46.7,1.906,5076.2,no
47,self-employed,married,professional.course,no,yes,no,telephone,apr,fri,87,3,999,0,nonexistent,1.4,91.507,-45.4,0.755,5099.1,no
29,entrepreneur,single,high.school,no,no,no,cellular,aug,fri,12,3,999,0,nonexistent,1.4,91.364,-51.5,4.83,5076.2,no
27,entrepreneur,married,high.school,no,no,no,telephone,aug,tue,166,1,8,3,success,-0.1,93.504,-40.4,5.1,5008.7,no
45,technician,single,high.school,no,yes,no,cellular,dec,mon,109,2,999,0,nonexistent,-0.1,93.186,-39.3,3.866,4963.6,no
37,self-employed,married,basic.9y,no,no,no,cellular,jan,mon,72,1,999,0,nonexistent,-1.8,91.61,-43.8,0.6,5099.1,yes
48,admin.,single,university.degree,no,yes,no,cellular,may,tue,296,1,999,0,nonexistent,1.4,90.433,-31.8,5.1,5076.2,no
45,services,divorced,basic.9y,no,yes,no,cellular,dec,thu,366,2,999,0,nonexistent,1.1,92.446,-44.1,5.1,4963.6,no
39,admin.,married,professional.course,no,no,no,cellular,dec,fri,70,1,999,0,nonexistent,-3.4,95.22,-36.0,5.1,5017.5,no
29,blue-collar,married,university.degree,no,no,no,cellular,sep,fri,12,1,999,0,nonexistent,-1.8,93.009,-48.9,3.547,5076.2,no
21,technician,divorced,university.degree,no,unknown,no,telephone,oct,thu,472,4,999,0,nonexistent,-0.1,94.2,-40.5,3.164,5099.1,no
34,technician,married,high.school,no,yes,yes,cellular,apr,mon,2,4,7,4,failure,1.1,93.27,-39.7,3.787,5008.7,yes
50,retired,single,basic.4y,no,no,no,telephone,jul,mon,691,1,999,0,nonexistent,-1.8,92.913,-45.6,0.945,4963.6,yes
42,technician,married,basic.4y,no,no,no,cellular,may,mon,246,9,10,3,failure,-1.8,90.79,-41.2,2.019,4963.6,yes
25,technician,married,high.school,no,no,no,telephone,may,tue,97,2,999,0,nonexistent,-1.8,92.39,-45.6,1.945,5008.7,no
42,blue-collar,married,basic.6y,no,yes,no,cellular,nov,wed,70,2,14,4,success,-1.8,92.198,-43.6,4.093,5099.1,yes
44,technician,married,university.degree,no,no,no,cellular,may,mon,2,1,999,0,nonexistent,1.4,95.222,-43.4,3.445,5191.0,no
29,blue-collar,single,university.degree,no,no,no,cellular,jul,tue,67,2,999,0,nonexistent,1.1,93.275,-49.0,1.275,5017.5,no
41,admin.,married,university.degree,yes,yes,no,cellular,dec,mon,37,2,999,0,nonexistent,1.1,94.916,-39.4,0.6,5191.0,no
40,management,married,university.degree,no,yes,yes,telephone,may,thu,236,3,999,0,nonexistent,1.1,94.691,-39.0,3.64,5008.7,no
26,management,married,basic.9y,no,yes,no,cellular,dec,wed,45,1,26,3,success,-1.7,91.731,-43.9,1.086,5017.5,no
44,management,married,university.degree,no,no,no,cellular,dec,wed,188,1,999,0,nonexistent,1.1,93.002,-40.8,0.741,5099.1,yes
